g = m/s²
Experimental Value of acceleration	Accepted Value of acceleration
9.803243		9.803
Percent Error	-1.419285
Position (m),	Time (s)
-529.021160,	0.217200
-529.033474,	0.217400
-529.021160,	0.217600
-529.033474,	0.217800
-529.033474,	0.218000
-529.021160,	0.218200
-529.021160,	0.218400
-529.021160,	0.218600
-529.033474,	0.218800
-529.021160,	0.219000
-529.021160,	0.219200
-529.021160,	0.219400
-529.021160,	0.219600
-529.021160,	0.219800
-529.021160,	0.220000
-529.021160,	0.220200
-529.021160,	0.220400
-529.033474,	0.220600
-529.021160,	0.220800
-529.021160,	0.221000
-529.021160,	0.221200
-529.021160,	0.221400
-529.021160,	0.221600
-529.021160,	0.221800
-529.021160,	0.222000
-529.021160,	0.222200
-529.021160,	0.222400
-529.021160,	0.222600
-529.021160,	0.222800
-529.021160,	0.223000
-529.021160,	0.223200
-529.021160,	0.223400
-529.021160,	0.223600
-529.021160,	0.223800
-529.021160,	0.224000
-529.021160,	0.224200
-529.021160,	0.224400
-529.021160,	0.224600
-529.021160,	0.224800
-529.033474,	0.225000
-529.021160,	0.225200
-529.021160,	0.225400
-529.021160,	0.225600
-529.021160,	0.225800
-529.021160,	0.226000
-529.021160,	0.226200
-529.021160,	0.226400
-529.021160,	0.226600
-529.033474,	0.226800
-529.021160,	0.227000
-529.021160,	0.227200
-529.021160,	0.227400
-529.021160,	0.227600
-529.021160,	0.227800
-529.021160,	0.228000
-529.021160,	0.228200
-529.021160,	0.228400
-529.021160,	0.228600
-529.021160,	0.228800
-529.021160,	0.229000
-529.021160,	0.229200
-529.021160,	0.229400
-529.021160,	0.229600
-529.021160,	0.229800
-529.021160,	0.230000
-529.021160,	0.230200
-529.021160,	0.230400
-529.021160,	0.230600
-529.021160,	0.230800
-529.021160,	0.231000
-529.033474,	0.231200
-529.021160,	0.231400
-529.021160,	0.231600
-529.021160,	0.231800
-529.021160,	0.232000
-529.021160,	0.232200
-529.021160,	0.232400
-529.021160,	0.232600
-529.033474,	0.232800
-529.021160,	0.233000
-529.021160,	0.233200
-529.021160,	0.233400
-529.021160,	0.233600
